Source: Account_App_Personal_Editable_renamed2.pdf
Date: 2025-11-13 13:22
Total fields: 321

ID, Field Name, Type
246, sec_trust_contact2_rel_other, Checkbox
247, sec_trust_contact2_address, Text
248, sec_trust_contact2_city, Text
249, sec_trust_contact2_state, Text
250, sec_trust_contact2_zip, Text
251, sec_trust_contact2_country, Text
252, sec_trust_contact2_phone, Text
253, sec_trust_contact2_mobile, Text
254, sec_trust_contact2_email, Text
255, paperless_opt_out, Checkbox
256, source_salary, Checkbox
257, source_social_security, Checkbox
258, source_property_sale, Checkbox
259, source_inheritance, Checkbox
260, purpose_general, Checkbox
261, purpose_tax_planning, Checkbox
262, purpose_retirement, Checkbox
263, purpose_other, Checkbox
264, source_capital_gains, Checkbox
265, source_gifts, Checkbox
266, source_gambling, Checkbox
267, source_other, Checkbox
268, purpose_estate, Checkbox
269, purpose_college, Checkbox
270, purpose_pooled_assets, Checkbox
271, purpose_other_text, Text
272, source_other_text, Text
273, checks_only, Checkbox
274, checks_one_card, Checkbox
275, checks_two_cards, Checkbox
276, activity_low, Checkbox
277, activity_high, Checkbox
278, activity_medium, Checkbox
279, activity_very_high, Checkbox
280, auth_trading_disbursement, Checkbox
281, auth_trading_only, Checkbox
282, auth_fee_payment, Checkbox
283, proxy_vote_holder, Checkbox
284, proxy_vote_ia, Checkbox
285, proxy_copy_holder, Checkbox
286, proxy_copy_ia, Checkbox
287, proxy_copy_none, Checkbox
288, reorg_vote_holder, Checkbox
289, reorg_vote_ia, Checkbox
290, reorg_copy_holder, Checkbox
291, reorg_copy_ia, Checkbox
292, reorg_copy_none, Checkbox
293, interim_mail_holder, Checkbox
294, interim_mail_ia, Checkbox
295, interim_mail_both, Checkbox
296, info_release_object, Checkbox
297, info_release_allow, Checkbox
298, backup_withholding, Checkbox
299, primary_signature, Signature
300, primary_sign_date, Text
301, primary_print_name, Text
302, secondary_signature, Signature
303, secondary_sign_date, Text
304, secondary_print_name, Text
305, digital_note_bottom, Text
306, successor_custodian_name, Text
307, custodian_signature, Signature
308, custodian_sign_date, Text
309, custodian_print_name, Text
310, custodian_title, Text
311, witness_signature, Signature
312, witness_sign_date, Text
313, witness_print_name, Text
314, witness_title, Text
315, cash_features_info, Text
316, eligibility_info, Text
317, interest_rates_info, Text
318, interest_rates_continued, Text
319, benefits_info, Text
320, risks_info, Text
321, disclaimer_text, Text
